customerId;activitySegment
tjtlrqsxj;undefined
dxqzstrt;undefined
tttjodtrq;undefined
tzzolqxqq;undefined
sotdqzoz;undefined
sodlolrq;undefined
rotzszrx;undefined
tzsrjdxls;undefined
tjrjztrdr;undefined
rjzrxjz;undefined
ttxjtorxs;undefined
tzsxzqqsd;undefined
sssqlrd;undefined
rrqrrtsx;undefined
tzjtldjtr;undefined
ttrzdotqx;undefined
qjozqxot;undefined
tjxrdolzq;undefined
sdzrsjll;undefined
soldldlx;undefined
tjsqjdorq;undefined
ololtlz;undefined
ttjdxxztd;undefined
dzxsjozt;undefined
ltootqto;undefined
tztszdjol;undefined
ttxosrljl;undefined
ttzrxqzts;undefined
tzltlqqxr;undefined
ddxjoxsx;undefined
tqllsqqxj;undefined
tjjxdrzjz;undefined
tzqzlqdtt;undefined
szrodzdr;undefined
tjsqqxrzs;undefined
tjzoxsdzl;undefined
ttxtrltqs;undefined
tqsjrqzqz;undefined
qjqzxlrt;undefined
tjjrtdoqx;undefined
tjdqooxqt;undefined
tzlzjltxz;undefined
tzddolzrs;undefined
sjdoxsoj;undefined
ttqsqsdtl;undefined
tjxzdsjro;undefined
tzjjsqdll;undefined
tjzlxoqdr;undefined
ddqssqdt;undefined
dstldolz;undefined
tzzsjrott;undefined
tjzlrsozt;undefined
rxtsrzor;undefined
tqjrlzszj;undefined
sorxlzdd;undefined
ttztjsrqj;undefined
tjlljxoot;undefined
tjoqtzqod;undefined
tqdqoqqdo;undefined
tjxoxojrt;undefined
tzqrrotjr;undefined
tzjtszzsx;undefined
ttsttossl;undefined
rrxotoqo;undefined
tqxdlqdzl;undefined
tzjllojqr;undefined
tzzddxtoo;undefined
tjqtqzjdt;undefined
soosjzxx;undefined
tjrlzszds;undefined
tjtzrjdlt;undefined
qtslqsrd;undefined
ttqddldsr;undefined
sttoxqxs;undefined
tqsjqrlqj;undefined
tqortxjxz;undefined
tqoxqsxjr;undefined
soqqxdrr;undefined
tzootsljs;undefined
sttoxzjd;undefined
ttlxtqslr;undefined
sxdjotlt;undefined
rxjlsdls;undefined
tqlzjtjor;undefined
sorxdrqq;undefined
tjzxjlzdx;undefined
dtsxsdjl;undefined
rjssrzoo;undefined
ttrjrjslq;undefined
tzjtjsrjq;undefined
tzzttlxld;undefined
tqdrqsqxt;undefined
xrlxxlj;undefined
stqdxszs;undefined
ttddxtzrt;undefined
tqdqrxoxq;undefined
rxjqrlox;undefined
tjzostdzz;undefined
tqlqzxjdr;undefined
tzltzjojq;undefined
ttqsqsdzz;undefined
tzzzxqjot;undefined
tqdxqqqjz;undefined
tqrsxolox;undefined
tzqlxozdr;undefined
ordlsjdj;undefined
sdqszjot;undefined
txjqssdsz;undefined
dxrsssto;undefined
oozqzlls;undefined
txjxrxzlj;undefined
tjlzossol;undefined
szzrrlqx;undefined
tjotxqtrj;undefined
tzqstqroj;undefined
sdlrdjxs;undefined
tzrdrtdlj;undefined
txzssjrrl;undefined
slqlxdtd;undefined
dsrozqsx;undefined
rzsdxzdq;undefined
dtllrttz;undefined
tjjxlzrdd;undefined
ttdososso;undefined
qtosxsrx;undefined
tzxxzqsrd;undefined
ttddxttdt;undefined
tzoorlrdr;undefined
ttotrsjxl;undefined
tzrjxlrtd;undefined
tjdllqtjq;undefined
tqjszzosz;undefined
tzzxtxxoo;undefined
tzqtzjdlq;undefined
tjtodzrtq;undefined
tzlolzjjo;undefined
dqtzoddl;undefined
tzlxozsxj;undefined
tzrqrlxjq;undefined
txjdztdtx;undefined
rjrdsxrs;undefined
rqdtttqj;undefined
ttrtjqdjo;undefined
tzosxqxoz;undefined
tzsxtsrld;undefined
ttrrjdodo;undefined
tqjjrlozj;undefined
tjqxrsjxl;undefined
tzrlxjsds;undefined
tjzjdtljd;undefined
tzdxosols;undefined
tzojtjjjo;undefined
sjrdtzjs;undefined
tztxtooqo;undefined
tzdsxlsdz;undefined
lozzqxz;undefined
tzsxtdjjs;undefined
tqsjltool;undefined
tqoxlooqs;undefined
tjxrllqzq;undefined
tjzrddxtj;undefined
tjdtosjll;undefined
tqoqrrqlj;undefined
qtoldrzd;undefined
ttzrxqxxq;undefined
dtsojoxo;undefined
tzxrlsxrq;undefined
sjqqdodj;undefined
